timestamp,pm2_5,pm10,temperature,humidity,pressure,gas_resistance,mq135,aqi
2026-07-02T15:06:58.048Z,44.4,56.2,31.7,77.4,1007.4,1.1,1795,122
2026-07-02T15:07:08.026Z,46.8,60.8,31.7,77.4,1007.4,1.1,1795,128
2026-07-02T15:07:18.023Z,49,64,31.6,77.4,1007.4,1.1,1776,134
2026-07-02T15:07:28.018Z,49,64.6,31.6,77.3,1007.4,1.2,1776,134
2026-07-02T15:07:38.071Z,50,65.2,31.5,77.3,1007.4,1.2,1361,136
2026-07-02T15:07:48.017Z,49.8,63.8,31.5,77.3,1007.4,1.3,1361,136
2026-07-02T15:07:58.015Z,51.2,65.8,31.5,77.2,1007.4,1.4,1134,139
2026-07-02T15:08:08.028Z,51.6,67.6,31.5,77.1,1007.4,1.4,1134,140
2026-07-02T15:08:18.166Z,50.4,66.4,31.4,77.1,1007.4,1.5,983,137
2026-07-02T15:08:28.014Z,49.8,65.4,31.4,77,1007.4,1.6,871,136
2026-07-02T15:08:38.024Z,49.2,63.8,31.4,76.9,1007.4,1.7,823,134
2026-07-02T15:08:48.034Z,51,65.2,31.4,76.8,1007.4,1.8,773,139
2026-07-02T15:08:58.329Z,50.4,65,31.4,76.7,1007.4,1.9,703,137
2026-07-02T15:09:08.119Z,50.6,64.6,31.4,76.6,1007.4,2,697,138
2026-07-02T15:09:18.019Z,50.2,64.2,31.4,76.5,1007.4,2.1,665,137
2026-07-02T15:09:28.027Z,49.4,61.8,31.4,76.4,1007.4,2.3,620,135
2026-07-02T15:09:38.098Z,49.6,62.6,31.4,76.4,1007.4,2.4,618,135
2026-07-02T15:09:48.022Z,50,64,31.4,76.3,1007.4,2.5,605,136
2026-07-02T15:09:58.248Z,49.6,63,31.4,76.2,1007.4,2.6,571,135
2026-07-02T15:10:08.307Z,48.6,62.4,31.4,76.1,1007.4,2.8,567,133
2026-07-02T15:10:18.045Z,48,62.4,31.4,76,1007.4,2.9,560,131
2026-07-02T15:10:28.121Z,49,64,31.4,76,1007.4,3,540,134
2026-07-02T15:10:38.094Z,49,64.6,31.4,75.9,1007.4,3.1,529,134
2026-07-02T15:10:48.149Z,49.6,64,31.5,75.8,1007.4,3.3,528,135
2026-07-02T15:10:58.032Z,49.2,63,31.5,75.7,1007.4,3.4,502,134
2026-07-02T15:11:08.068Z,50,62.8,31.5,75.6,1007.4,3.6,499,136
2026-07-02T15:11:18.029Z,49.4,63,31.5,75.5,1007.4,3.7,498,135
2026-07-02T15:11:28.021Z,50,65.4,31.5,75.5,1007.4,3.8,485,136
2026-07-02T15:11:38.053Z,49.6,65.6,31.6,75.4,1007.4,4,478,135
2026-07-02T15:11:48.080Z,48.4,63.4,31.6,75.3,1007.4,4.1,478,132
2026-07-02T15:11:58.068Z,49,64.4,31.6,75.2,1007.4,4.3,475,134
2026-07-02T15:12:08.039Z,47.6,65,31.6,75.1,1007.4,4.4,467,130
2026-07-02T15:12:18.023Z,50.4,66.4,31.6,75,1007.4,4.6,466,137
2026-07-02T15:12:28.136Z,49,63,31.7,74.9,1007.4,4.7,464,134
2026-07-02T15:12:38.019Z,50.4,62.4,31.7,74.8,1007.4,4.9,462,137
2026-07-02T15:12:48.303Z,48.6,61,31.7,74.8,1007.4,5,462,133
2026-07-02T15:12:58.012Z,48.4,61.4,31.7,74.7,1007.4,5.2,458,132
2026-07-02T15:13:08.016Z,48.6,63.4,31.8,74.6,1007.4,5.3,455,133
2026-07-02T15:13:18.015Z,50,64.6,31.8,74.5,1007.4,5.5,444,136
2026-07-02T15:13:28.031Z,47.8,61,31.8,74.4,1007.4,5.6,439,131
2026-07-02T15:13:38.042Z,47.8,60.8,31.8,74.4,1007.4,5.8,432,131
2026-07-02T15:13:48.236Z,47.4,60.4,31.8,74.3,1007.4,6,432,130
2026-07-02T15:13:58.327Z,47.4,60.4,31.9,74.2,1007.4,6.1,432,130
2026-07-02T15:14:08.425Z,48.8,64,31.9,74.1,1007.4,6.3,425,133
2026-07-02T15:14:18.052Z,47.4,61.6,31.9,74.1,1007.4,6.4,425,130
2026-07-02T15:14:28.178Z,47.8,62.8,31.9,74,1007.4,6.6,422,131
2026-07-02T15:14:38.033Z,48.2,62.8,32,73.9,1007.4,6.7,419,132
2026-07-02T15:14:48.022Z,47.2,62,32,73.8,1007.4,6.9,417,129
2026-07-02T15:14:58.109Z,47.2,62,32,73.6,1007.4,7.1,414,129
2026-07-02T15:15:08.120Z,46.4,61.4,32,73.5,1007.4,7.2,411,127
2026-07-02T15:15:18.024Z,46.6,62,32.1,73.5,1007.4,7.4,410,128
2026-07-02T15:15:28.018Z,47.8,61.6,32.1,73.4,1007.5,7.5,410,131
2026-07-02T15:15:38.121Z,46.8,61,32.1,73.3,1007.5,7.7,409,128
2026-07-02T15:15:48.073Z,45.6,57.8,32.2,73.2,1007.5,7.8,409,125
2026-07-02T15:15:58.012Z,45.8,57.8,32.2,73.1,1007.5,8,406,126
2026-07-02T15:16:08.011Z,45.2,58,32.2,73,1007.5,8.1,404,124
2026-07-02T15:16:18.014Z,46.6,61.6,32.2,72.9,1007.5,8.3,404,128
2026-07-02T15:16:28.117Z,46.6,60.6,32.3,72.8,1007.5,8.4,403,128
2026-07-02T15:16:38.024Z,47,60.4,32.3,72.8,1007.5,8.5,402,129
2026-07-02T15:16:48.064Z,48.2,61.2,32.3,72.7,1007.5,8.7,400,132
2026-07-02T15:16:58.011Z,47.4,60,32.3,72.6,1007.5,8.8,400,130
2026-07-02T15:17:08.017Z,45.2,57,32.4,72.5,1007.5,9,400,124
2026-07-02T15:17:18.017Z,45.4,57.8,32.4,72.4,1007.5,9.1,398,125
2026-07-02T15:17:28.014Z,44,56.2,32.4,72.3,1007.5,9.2,398,121
